ID,Lat,Lon,Hgt_m
5PTS,36.429178603000004,-120.264976914,56.5231551
7OAK,37.59498606,-114.75908955700001,1713.2781037999996
7ODM,34.116406899999994,-117.093191981,762.0717087
ACSB,33.274264933000005,-117.444891086,-12.2960356
ACSX,33.274265297,-117.44489206899999,-12.291230300000002
AERO,32.80746746,-117.12437979399999,92.6906227
AGMT,34.594281855,-116.429377366,1337.8227700999996
AIAH,33.849159884,-117.86247482200001,38.2203257
AISD,33.023891888,-117.085783284,141.587007
ALAM,37.357958311,-115.158458356,1090.0045972
ALPP,34.824490351,-118.694797886,918.0726463
ALTH,36.88960596,-120.66976205200001,18.7884095
ANA1,34.015005107,-119.363469237,22.447149
AOA1,34.157443553,-118.830316994,246.5612728
APEX,36.319118805,-114.93178869299999,761.0366397000001
AQUA,32.679403925,-114.485435635,35.126916200000004
AR27,33.341848599,-117.324930724,32.3014618
AR53,33.381135308000005,-117.476505265,111.04048190000002
ARGU,36.050010756999995,-117.52194342,1791.3384142999996
ARM1,35.201251712,-118.91042280799999,76.8170267
ARM2,35.201259454,-118.910557537,76.81307640000001
ARMY,38.497713688000005,-118.438228376,1822.0195157
ARTE,38.999923395,-119.40891969299999,1638.3003485
ASHM,36.345920602,-116.139376554,885.7384406
ASTA,38.169401453,-121.684492351,-16.6706124
AVRY,34.468300825,-117.15396939799999,888.9170136
AZBH,35.107494337,-114.60498635200001,151.68498590000004
AZDS,35.53313342,-114.35923354200001,870.6669800000002
AZFM,34.852237368000004,-114.595103944,119.8819878
AZGV,35.254373750999996,-114.25426688799999,867.564983
AZKG,35.190330345999996,-114.052543416,1005.3468109
AZLH,34.50832744,-114.34713352899999,172.51495690000004
AZMP,35.370602288,-114.153740249,1271.7699557
AZNE,32.675753753,-114.59635273299999,34.623806
AZPK,34.145218809,-114.29178282,100.8911298
AZQZ,33.665647485,-114.227314263,240.2418574
AZRY,33.540071321999996,-116.62969454600001,1265.6999052
AZU1,34.126017364,-117.89648295399999,144.77114369999995
AZWE,33.821751245,-113.54197679100001,541.8997015
AZYC,34.879277608,-114.14699187299999,541.035975
AZYU,32.658349705,-114.52710759700001,36.9454167
AZYW,32.683678486999995,-114.64220057899999,10.7981154
BAK1,35.351893312,-119.020801638,93.4919226
BAKR,35.383538266,-119.01446860899999,115.2580795
BALD,37.783427262,-118.901391334,2749.4399766
BAR1,33.4804515,-119.029735676,14.809565300000004
BATM,36.403456785,-116.511552544,736.9881220999998
BBDM,34.582198109000004,-119.98151301899999,204.8752515
BBRY,34.264278602,-116.88424091,2051.0723106
BCWR,34.920461064,-119.405846773,1332.9423124000002
BDSP,37.518181407,-114.080402901,1557.8997469
BEAT,37.039931259,-116.62112806200001,1396.0333672
BEER,35.558089788000004,-117.78271885,835.3850636
BEMT,34.000534138,-115.998190684,1373.6634318
BEPK,35.878387838,-118.07409217200001,2471.1239991
BFLD,35.413084258000005,-119.045330805,108.3751226
BFLT,38.85386434,-119.675862456,1597.101674
BFSH,35.591122532,-118.497960974,791.6832975
BGIS,33.967116561,-118.159693034,2.832873
BIGP,37.167809605,-118.33832386899999,1554.8419761
BILL,33.578242899,-117.06459963,470.0642673
BIRD,35.957577697,-115.42911775399999,1523.1689634000004
BKAP,35.287047998,-116.08042360700001,252.02971180000003
BKMS,33.962257952,-118.094698061,11.0251886
BKR1,35.132387336,-119.109478114,56.8746287
BKR2,35.132579276,-119.109286761,56.7870083
BLIN,37.757996546,-118.504006779,1856.8379536
BLSA,33.799543324,-118.028676819,-23.1547702
BLYT,33.610415081,-114.71485066,85.9301329
BMHL,34.25144538,-116.052977024,722.6324132
BMRY,33.962681763,-116.98469971600001,787.2525077
BNSL,33.258126035,-117.23614661399999,37.4477597
BODI,38.216490994000004,-118.96900617899999,2468.9181716
BOMG,33.364629034000004,-115.72970474200001,-84.2046051
BONI,37.225005385,-117.17678069799999,1290.3419144000004
BOUL,35.90665668,-114.787655234,638.4805743
BRAN,34.184894054000004,-118.277049151,246.245314
BRAW,32.97842132,-115.52176647,-64.96566920000001
BRI2,37.919469751,-122.152526592,265.1044889
BRIB,37.919404222,-122.152550025,262.2679883
BRIC,37.919405266,-122.15255582299999,263.1764021
BRID,38.207009831,-119.311028798,2127.4887954
BRPK,34.682283309,-118.57680766700001,1729.1105827
BRVL,38.494249188000005,-120.041336209,2387.8585206
BSRY,34.91861218,-117.011992991,613.4716063
BTDM,34.292805101,-118.18822383,678.2439411
BUEG,34.612848724,-120.19640776799999,74.80257409999999
BULL,36.917642751,-116.871700385,1344.7881748
BUST,36.745335864,-116.450941662,992.2938656
BUTM,37.346423617,-118.55485572399999,1779.3805621
BVPP,35.157276043,-119.347506328,123.0504864
BWOD,37.958738571,-121.70885223,-2.1348039
CA00,34.41262683,-118.55365306799999,332.8900389
CA29,34.135951012,-116.052033658,576.7083158
CA99,37.644564528000004,-118.89668967200001,2391.5382297
CAAT,35.471452748000004,-120.65401646299999,263.9856832
CAB5,35.275657946,-116.0734717,261.9263713
CABD,34.104305392,-117.28336591799999,284.0046062
CABK,35.350733575,-118.968778848,92.4810046
CABS,34.894466488,-117.050015931,636.1788263
CABU,35.499968218,-119.545991105,49.7886799
CABY,33.608836516,-114.61015084200001,53.0696419
CAC1,33.799202305,-116.40556643,78.93808320000002
CAC2,35.099800649,-117.989256495,715.8000096
CAC3,38.010492877,-122.024747353,-7.8386243
CACD,38.01066896,-122.040268883,-9.206807199999998
CACJ,32.745830596,-116.94382806799999,103.5540074
CACM,32.624588165,-116.47534599,769.0310208
CACO,36.176405675,-120.359620285,193.7808084
CACP,34.085841618,-118.78573509600001,828.9169217
CACT,33.655135281,-115.989947656,518.4333085
CACV,36.827776823,-119.6883295,87.00134940000002
CACX,32.671762351999995,-115.526625775,-27.5654749
CAD1,35.759377146,-119.243842556,69.58367740000001
CADY,37.727958329,-122.50499915799999,-4.1205330999999985
CAE1,34.751317288,-115.23002094,515.3239683
CAE2,34.751080836,-115.229937838,515.3120377
CAEC,32.791442316,-115.56489336899999,-41.78476420000001
CAEG,38.381105147,-121.365087045,-9.8105132
CAES,33.700966107,-117.31266383799999,450.89681389999987
CAFA,38.24908042,-122.067913626,-12.1221826
CAFP,36.423996358000004,-120.10198455,38.5209047
CAFR,36.814447531,-119.74747009,90.4571117
CAFT,37.469953858000004,-121.92481444799999,-13.0081453
CAGD,34.128408392,-117.82703129299999,249.3387937
CAGR,37.051835068,-121.53910593799999,74.0650387
CAGW,32.712097422,-114.94318069100001,22.1336394
CAHA,36.323437213000005,-119.622771288,46.90232
CAHB,37.506167597,-122.490346308,-18.7788124
CAHF,36.854814401999995,-120.779023237,99.0986519
CAHV,32.770248966,-115.273337216,-21.8745478
CAIB,32.574829579,-117.12655199,-25.4211919
CAIS,35.602667133000004,-118.48733234299999,726.7360474999998
CAKC,36.007975457,-119.967413188,57.1027865
CAL5,34.108283833,-118.24180015600001,86.6383172
CAL8,34.80605639,-118.871583953,1369.4551467
CALA,38.596264176,-118.128745113,1868.9375081
CALB,37.098328245,-120.70166897200001,3.1682404
CALK,33.635493768,-117.71425661200001,76.6470883
CALS,34.648806874,-118.14708245700001,738.6477272999998
CAM5,35.529262865999996,-121.042907385,17.0108684
CAMB,38.792230364,-119.073085435,1519.1184905
CAMC,37.365602767,-120.422317623,64.6903012
CAMD,36.975488753,-120.079183201,54.5799086
CAMT,36.579618915,-121.82024757200001,51.480636
CANC,33.886028487,-117.573074784,151.385243
CAND,35.939351983,-120.433696201,568.3783307
CANI,33.237464539,-115.517218608,-69.01955670000001
CAOD,37.769442683,-120.837798189,20.956948800000006
CAOR,32.932693021999995,-115.291599582,-23.8126853
CAOS,33.197793451,-117.37808553299999,-3.3732481
CAOX,34.190810156,-119.173702553,-14.4784951
CAP1,37.714176075,-122.22208402700001,-20.847680800000006
CAP4,37.430327301,-121.06778761,-4.593898
CAP6,37.394938023,-122.150457625,42.4891853
CAPE,33.746568957,-118.28007053200001,-13.9920608
CAPL,37.695569459,-121.901617265,78.7261546
CAPV,38.697341045,-120.82418496700001,529.6846611000002
CAR1,33.920895639,-117.416601899,239.1841172
CARA,33.042658955,-116.86666286299999,413.8339953
